id_coupure,date_publication,date_debut,heure_debut,date_fin,heure_fin,duree_minutes,annee,mois,jour_semaine,periode_journee,region,province,ville,zone,latitude,longitude,type_coupure,cause,statut,source_name,source_type,url_source,niveau_confiance,niveau_impact,temperature_max,precipitation,irradiation_solaire,duree_heures,coupure_longue,debut_datetime,heure_num,jour_num,weekend,classe_duree,risque_zone
81,2022-09-25,2022-09-28,14:00,2022-09-28,15:00,60,2022,9,Wednesday,après-midi,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,perturbation,incident technique,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,29.4,0.0,6.73,1.0,False,2022-09-28 14:00:00,14,2,False,courte,23
82,2026-03-07,2026-03-09,12:30,2026-03-09,14:00,90,2026,3,Monday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,perturbation,déficit de production,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,29.7,0.0,6.21,1.5,False,2026-03-09 12:30:00,12,0,False,moyenne,31
83,2023-06-08,2023-06-10,06:00,2023-06-10,08:00,120,2023,6,Saturday,matin,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,imprévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,34.4,0.0,6.75,2.0,False,2023-06-10 06:00:00,6,5,True,moyenne,17
84,2022-11-25,2022-11-27,18:00,2022-11-28,00:00,360,2022,11,Sunday,soir,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,prévue,déficit de production,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,39.3,0.0,5.28,6.0,True,2022-11-27 18:00:00,18,6,True,longue,28
85,2025-12-20,2025-12-23,09:00,2025-12-23,11:00,120,2025,12,Tuesday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,travaux,maintenance programmée,terminée,Signalement utilisateur,terrain,,0.55,moyen,29.0,8.5,6.66,2.0,False,2025-12-23 09:00:00,9,1,False,moyenne,24
86,2020-10-19,2020-10-20,10:00,2020-10-20,12:00,120,2020,10,Tuesday,matin,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,imprévue,déficit de production,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,37.9,1.0,4.96,2.0,False,2020-10-20 10:00:00,10,1,False,moyenne,16
87,2024-02-06,2024-02-08,12:00,2024-02-08,14:00,120,2024,2,Thursday,après-midi,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,42.4,0.0,4.98,2.0,False,2024-02-08 12:00:00,12,3,False,moyenne,26
88,2022-01-19,2022-01-21,18:00,2022-01-21,22:00,240,2022,1,Friday,soir,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,imprévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,40.7,3.0,5.01,4.0,True,2022-01-21 18:00:00,18,4,False,moyenne,26
89,2023-07-09,2023-07-12,18:00,2023-07-12,19:00,60,2023,7,Wednesday,soir,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,prévue,déficit de production,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,34.9,2.5,6.72,1.0,False,2023-07-12 18:00:00,18,2,False,courte,56
90,2024-11-19,2024-11-22,08:00,2024-11-22,13:00,300,2024,11,Friday,matin,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,prévue,surcharge du réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,42.1,0.0,5.15,5.0,True,2024-11-22 08:00:00,8,4,False,longue,28
91,2020-03-12,2020-03-14,10:30,2020-03-14,12:30,120,2020,3,Saturday,matin,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,imprévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,33.8,2.3,5.5,2.0,False,2020-03-14 10:30:00,10,5,True,moyenne,56
92,2025-06-03,2025-06-06,18:00,2025-06-06,21:00,180,2025,6,Friday,soir,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,perturbation,travaux entretien réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,34.3,5.7,4.68,3.0,False,2025-06-06 18:00:00,18,4,False,moyenne,17
93,2021-09-05,2021-09-07,20:00,2021-09-08,04:00,480,2021,9,Tuesday,soir,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,surcharge du réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,33.3,0.0,4.63,8.0,True,2021-09-07 20:00:00,20,1,False,longue,26
94,2023-08-19,2023-08-19,18:00,2023-08-19,19:00,60,2023,8,Saturday,soir,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,30.6,0.1,6.26,1.0,False,2023-08-19 18:00:00,18,5,True,courte,25
95,2021-11-17,2021-11-20,06:00,2021-11-20,09:00,180,2021,11,Saturday,matin,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,raccordement nouveaux postes,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,38.5,1.3,5.52,3.0,False,2021-11-20 06:00:00,6,5,True,moyenne,21
96,2026-05-15,2026-05-18,16:30,2026-05-18,17:30,60,2026,5,Monday,après-midi,Centre,Kadiogo,Ouagadougou,Dassasgho,12.384,-1.469,travaux,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,30.9,3.2,6.0,1.0,False,2026-05-18 16:30:00,16,0,False,courte,13
97,2020-01-09,2020-01-09,12:00,2020-01-09,15:00,180,2020,1,Thursday,après-midi,Centre,Kadiogo,Ouagadougou,Karpala,12.317,-1.493,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,34.0,0.0,5.1,3.0,False,2020-01-09 12:00:00,12,3,False,moyenne,11
98,2026-04-08,2026-04-08,14:00,2026-04-08,15:00,60,2026,4,Wednesday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,surcharge du réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,37.9,3.1,5.56,1.0,False,2026-04-08 14:00:00,14,2,False,courte,31
99,2020-11-11,2020-11-14,14:00,2020-11-14,15:00,60,2020,11,Saturday,après-midi,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,41.3,1.9,6.45,1.0,False,2020-11-14 14:00:00,14,5,True,courte,25
100,2021-09-14,2021-09-17,06:00,2021-09-17,10:00,240,2021,9,Friday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,33.9,0.0,4.96,4.0,True,2021-09-17 06:00:00,6,4,False,moyenne,25
101,2022-01-24,2022-01-25,20:30,2022-01-25,22:00,90,2022,1,Tuesday,soir,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,34.1,0.0,5.36,1.5,False,2022-01-25 20:30:00,20,1,False,moyenne,19
102,2023-02-03,2023-02-06,09:00,2023-02-06,12:00,180,2023,2,Monday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,travaux,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,35.8,1.2,4.64,3.0,False,2023-02-06 09:00:00,9,0,False,moyenne,56
103,2023-06-10,2023-06-12,08:30,2023-06-12,14:30,360,2023,6,Monday,matin,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,perturbation,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,31.7,0.0,6.0,6.0,True,2023-06-12 08:30:00,8,0,False,longue,19
104,2022-08-11,2022-08-13,16:00,2022-08-14,00:00,480,2022,8,Saturday,après-midi,Centre,Kadiogo,Ouagadougou,Bendogo,12.373,-1.44,imprévue,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,31.9,0.0,6.05,8.0,True,2022-08-13 16:00:00,16,5,True,longue,6
105,2021-02-11,2021-02-11,06:00,2021-02-11,07:00,60,2021,2,Thursday,matin,Centre,Kadiogo,Ouagadougou,Gounghin,12.357,-1.543,imprévue,incident technique,terminée,Donnée expérimentale,simulation,,0.2,faible,36.4,0.0,4.79,1.0,False,2021-02-11 06:00:00,6,3,False,courte,9
106,2022-05-30,2022-05-31,06:00,2022-05-31,14:00,480,2022,5,Tuesday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,orage ou intempéries,terminée,Donnée expérimentale,simulation,,0.2,élevé,41.9,0.0,5.69,8.0,True,2022-05-31 06:00:00,6,1,False,longue,25
107,2025-04-01,2025-04-02,16:00,2025-04-02,20:00,240,2025,4,Wednesday,après-midi,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,perturbation,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,31.1,0.0,4.92,4.0,True,2025-04-02 16:00:00,16,2,False,moyenne,56
108,2024-05-12,2024-05-12,06:00,2024-05-12,09:00,180,2024,5,Sunday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,incident technique,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,31.3,6.6,5.55,3.0,False,2024-05-12 06:00:00,6,6,True,moyenne,26
109,2025-08-12,2025-08-12,08:00,2025-08-12,13:00,300,2025,8,Tuesday,matin,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,travaux entretien réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,36.4,1.9,6.33,5.0,True,2025-08-12 08:00:00,8,1,False,longue,31
110,2022-01-25,2022-01-27,10:00,2022-01-27,12:00,120,2022,1,Thursday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,surcharge du réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,39.1,0.0,4.5,2.0,False,2022-01-27 10:00:00,10,3,False,moyenne,25
111,2020-04-20,2020-04-22,16:00,2020-04-22,17:30,90,2020,4,Wednesday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,incident technique,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,33.5,3.0,6.12,1.5,False,2020-04-22 16:00:00,16,2,False,moyenne,31
112,2024-07-04,2024-07-04,07:00,2024-07-04,08:00,60,2024,7,Thursday,matin,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,39.0,0.0,6.01,1.0,False,2024-07-04 07:00:00,7,3,False,courte,16
113,2023-06-02,2023-06-02,14:30,2023-06-02,16:30,120,2023,6,Friday,après-midi,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,imprévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,42.1,3.8,5.65,2.0,False,2023-06-02 14:30:00,14,4,False,moyenne,23
114,2022-09-23,2022-09-26,07:00,2022-09-26,08:30,90,2022,9,Monday,matin,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,prévue,orage ou intempéries,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,32.4,0.0,5.68,1.5,False,2022-09-26 07:00:00,7,0,False,moyenne,17
115,2024-09-27,2024-09-28,08:00,2024-09-28,16:00,480,2024,9,Saturday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,42.8,7.9,6.72,8.0,True,2024-09-28 08:00:00,8,5,True,longue,56
116,2025-01-09,2025-01-09,20:30,2025-01-09,21:30,60,2025,1,Thursday,soir,Centre,Kadiogo,Ouagadougou,Tanghin,12.389,-1.515,prévue,maintenance programmée,terminée,Donnée expérimentale,simulation,,0.2,faible,39.9,5.0,4.77,1.0,False,2025-01-09 20:30:00,20,3,False,courte,12
117,2021-08-27,2021-08-30,18:00,2021-08-30,22:00,240,2021,8,Monday,soir,Centre,Kadiogo,Ouagadougou,Dassasgho,12.384,-1.469,prévue,travaux entretien réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,29.1,2.3,6.57,4.0,True,2021-08-30 18:00:00,18,0,False,moyenne,13
118,2025-04-23,2025-04-26,20:00,2025-04-27,01:00,300,2025,4,Saturday,soir,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,prévue,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,36.9,0.0,5.63,5.0,True,2025-04-26 20:00:00,20,5,True,longue,28
119,2020-06-15,2020-06-17,09:00,2020-06-17,10:30,90,2020,6,Wednesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,incident technique,terminée,Signalement utilisateur,terrain,,0.55,faible,36.3,0.3,5.79,1.5,False,2020-06-17 09:00:00,9,2,False,moyenne,56
120,2024-05-12,2024-05-12,10:30,2024-05-12,18:30,480,2024,5,Sunday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,40.5,1.1,4.55,8.0,True,2024-05-12 10:30:00,10,6,True,longue,56
121,2024-05-14,2024-05-17,16:00,2024-05-17,22:00,360,2024,5,Friday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,prévue,travaux entretien réseau,terminée,Signalement utilisateur,terrain,,0.55,élevé,40.0,1.4,6.5,6.0,True,2024-05-17 16:00:00,16,4,False,longue,16
122,2024-06-16,2024-06-16,12:00,2024-06-16,13:30,90,2024,6,Sunday,après-midi,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,perturbation,travaux entretien réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,29.3,4.1,5.55,1.5,False,2024-06-16 12:00:00,12,6,True,moyenne,56
123,2023-12-22,2023-12-25,10:00,2023-12-25,15:00,300,2023,12,Monday,matin,Centre,Kadiogo,Ouagadougou,Tanghin,12.389,-1.515,imprévue,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,36.8,0.0,5.36,5.0,True,2023-12-25 10:00:00,10,0,False,longue,12
124,2021-07-19,2021-07-19,16:00,2021-07-19,18:00,120,2021,7,Monday,après-midi,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,prévue,déficit de production,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,29.8,3.3,6.66,2.0,False,2021-07-19 16:00:00,16,0,False,moyenne,28
125,2021-02-23,2021-02-24,08:00,2021-02-24,14:00,360,2021,2,Wednesday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,prévue,orage ou intempéries,terminée,Lefaso.net,media,https://lefaso.net/,0.8,élevé,42.9,3.4,4.55,6.0,True,2021-02-24 08:00:00,8,2,False,longue,24
126,2020-08-25,2020-08-26,06:00,2020-08-26,12:00,360,2020,8,Wednesday,matin,Centre,Kadiogo,Ouagadougou,Karpala,12.317,-1.493,prévue,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,37.6,0.0,4.53,6.0,True,2020-08-26 06:00:00,6,2,False,longue,11
127,2022-01-15,2022-01-15,08:00,2022-01-15,16:00,480,2022,1,Saturday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,prévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,42.3,0.0,6.76,8.0,True,2022-01-15 08:00:00,8,5,True,longue,24
128,2020-07-30,2020-08-01,09:00,2020-08-01,10:30,90,2020,8,Saturday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,travaux entretien réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,faible,38.0,0.0,6.48,1.5,False,2020-08-01 09:00:00,9,5,True,moyenne,56
129,2023-01-12,2023-01-14,07:00,2023-01-14,09:00,120,2023,1,Saturday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,travaux,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,42.6,2.8,5.83,2.0,False,2023-01-14 07:00:00,7,5,True,moyenne,26
130,2021-10-17,2021-10-17,06:00,2021-10-17,07:00,60,2021,10,Sunday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,prévue,raccordement nouveaux postes,terminée,Signalement utilisateur,terrain,,0.55,faible,33.8,0.0,5.94,1.0,False,2021-10-17 06:00:00,6,6,True,courte,24
131,2024-10-01,2024-10-02,06:00,2024-10-02,10:00,240,2024,10,Wednesday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,travaux,orage ou intempéries,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,39.0,2.1,5.45,4.0,True,2024-10-02 06:00:00,6,2,False,moyenne,23
132,2022-02-10,2022-02-13,12:00,2022-02-13,18:00,360,2022,2,Sunday,après-midi,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,prévue,raccordement nouveaux postes,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,34.7,0.1,6.43,6.0,True,2022-02-13 12:00:00,12,6,True,longue,28
133,2023-12-20,2023-12-23,12:00,2023-12-23,20:00,480,2023,12,Saturday,après-midi,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,imprévue,incident technique,terminée,Donnée expérimentale,simulation,,0.2,élevé,30.8,0.0,4.94,8.0,True,2023-12-23 12:00:00,12,5,True,longue,17
134,2023-07-15,2023-07-16,16:30,2023-07-16,19:30,180,2023,7,Sunday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,prévue,déficit de production,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,38.8,0.2,4.67,3.0,False,2023-07-16 16:30:00,16,6,True,moyenne,16
135,2026-05-27,2026-05-28,06:00,2026-05-28,14:00,480,2026,5,Thursday,matin,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,32.5,1.0,6.67,8.0,True,2026-05-28 06:00:00,6,3,False,longue,21
136,2022-07-17,2022-07-18,12:30,2022-07-18,16:30,240,2022,7,Monday,après-midi,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,prévue,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,38.6,2.2,6.55,4.0,True,2022-07-18 12:30:00,12,0,False,moyenne,17
137,2024-12-25,2024-12-28,20:00,2024-12-28,22:00,120,2024,12,Saturday,soir,Centre,Kadiogo,Ouagadougou,Tanghin,12.389,-1.515,imprévue,déficit de production,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,41.6,4.0,5.77,2.0,False,2024-12-28 20:00:00,20,5,True,moyenne,12
138,2022-10-22,2022-10-24,16:30,2022-10-24,20:30,240,2022,10,Monday,après-midi,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,36.4,0.9,6.22,4.0,True,2022-10-24 16:30:00,16,0,False,moyenne,21
139,2026-01-09,2026-01-12,09:00,2026-01-12,13:00,240,2026,1,Monday,matin,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,imprévue,raccordement nouveaux postes,terminée,Signalement utilisateur,terrain,,0.55,moyen,31.3,6.7,6.36,4.0,True,2026-01-12 09:00:00,9,0,False,moyenne,21
140,2025-01-31,2025-01-31,14:00,2025-01-31,19:00,300,2025,1,Friday,après-midi,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,perturbation,déficit de production,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,36.3,2.3,4.87,5.0,True,2025-01-31 14:00:00,14,4,False,longue,56
141,2021-12-26,2021-12-28,16:30,2021-12-28,22:30,360,2021,12,Tuesday,après-midi,Centre,Kadiogo,Ouagadougou,Dassasgho,12.384,-1.469,prévue,maintenance programmée,terminée,Signalement utilisateur,terrain,,0.55,élevé,29.1,0.3,5.34,6.0,True,2021-12-28 16:30:00,16,1,False,longue,13
142,2023-03-23,2023-03-26,14:00,2023-03-26,18:00,240,2023,3,Sunday,après-midi,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,imprévue,orage ou intempéries,terminée,Signalement utilisateur,terrain,,0.55,moyen,31.4,2.2,6.42,4.0,True,2023-03-26 14:00:00,14,6,True,moyenne,56
143,2026-05-27,2026-05-27,10:00,2026-05-27,18:00,480,2026,5,Wednesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,travaux,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,34.7,0.0,5.13,8.0,True,2026-05-27 10:00:00,10,2,False,longue,56
144,2023-03-22,2023-03-23,07:00,2023-03-23,09:00,120,2023,3,Thursday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,38.9,0.0,5.16,2.0,False,2023-03-23 07:00:00,7,3,False,moyenne,26
145,2022-06-15,2022-06-16,16:00,2022-06-16,20:00,240,2022,6,Thursday,après-midi,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,34.2,1.2,5.44,4.0,True,2022-06-16 16:00:00,16,3,False,moyenne,21
146,2021-05-28,2021-05-29,20:00,2021-05-30,04:00,480,2021,5,Saturday,soir,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,perturbation,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,34.9,0.0,4.91,8.0,True,2021-05-29 20:00:00,20,5,True,longue,16
147,2024-02-12,2024-02-15,12:00,2024-02-15,15:00,180,2024,2,Thursday,après-midi,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,prévue,incident technique,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,34.5,0.0,4.55,3.0,False,2024-02-15 12:00:00,12,3,False,moyenne,17
148,2021-07-28,2021-07-31,20:30,2021-07-31,23:30,180,2021,7,Saturday,soir,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,33.7,2.5,4.84,3.0,False,2021-07-31 20:30:00,20,5,True,moyenne,26
149,2025-04-15,2025-04-16,07:30,2025-04-16,09:00,90,2025,4,Wednesday,matin,Centre,Kadiogo,Ouagadougou,Bendogo,12.373,-1.44,perturbation,orage ou intempéries,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,35.3,1.3,4.52,1.5,False,2025-04-16 07:30:00,7,2,False,moyenne,6
150,2025-11-18,2025-11-20,10:00,2025-11-20,15:00,300,2025,11,Thursday,matin,Centre,Kadiogo,Ouagadougou,Dassasgho,12.384,-1.469,prévue,travaux entretien réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,41.4,0.0,4.74,5.0,True,2025-11-20 10:00:00,10,3,False,longue,13
151,2023-01-21,2023-01-21,07:30,2023-01-21,11:30,240,2023,1,Saturday,matin,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,perturbation,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,29.6,2.1,5.03,4.0,True,2023-01-21 07:30:00,7,5,True,moyenne,56
152,2023-03-13,2023-03-14,09:30,2023-03-14,14:30,300,2023,3,Tuesday,matin,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,prévue,incident technique,terminée,Signalement utilisateur,terrain,,0.55,élevé,41.5,0.0,4.78,5.0,True,2023-03-14 09:30:00,9,1,False,longue,56
153,2025-12-01,2025-12-04,10:00,2025-12-04,11:30,90,2025,12,Thursday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,39.2,2.4,6.3,1.5,False,2025-12-04 10:00:00,10,3,False,moyenne,25
154,2025-04-09,2025-04-11,20:00,2025-04-12,02:00,360,2025,4,Friday,soir,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,prévue,orage ou intempéries,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,42.4,0.0,6.74,6.0,True,2025-04-11 20:00:00,20,4,False,longue,24
155,2026-03-26,2026-03-27,08:00,2026-03-27,09:30,90,2026,3,Friday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,travaux,surcharge du réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,35.8,2.3,6.1,1.5,False,2026-03-27 08:00:00,8,4,False,moyenne,23
156,2022-08-20,2022-08-22,08:00,2022-08-22,13:00,300,2022,8,Monday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,raccordement nouveaux postes,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,42.9,2.1,5.11,5.0,True,2022-08-22 08:00:00,8,0,False,longue,26
157,2026-04-19,2026-04-19,20:30,2026-04-20,02:30,360,2026,4,Sunday,soir,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,imprévue,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,35.7,4.1,4.95,6.0,True,2026-04-19 20:30:00,20,6,True,longue,28
158,2020-06-21,2020-06-22,16:30,2020-06-22,18:00,90,2020,6,Monday,après-midi,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,imprévue,incident technique,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,30.1,4.0,5.08,1.5,False,2020-06-22 16:30:00,16,0,False,moyenne,28
159,2024-07-25,2024-07-28,16:00,2024-07-28,20:00,240,2024,7,Sunday,après-midi,Centre,Kadiogo,Ouagadougou,Dassasgho,12.384,-1.469,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,35.8,2.4,6.38,4.0,True,2024-07-28 16:00:00,16,6,True,moyenne,13
160,2022-11-08,2022-11-08,07:00,2022-11-08,08:00,60,2022,11,Tuesday,matin,Centre,Kadiogo,Ouagadougou,Gounghin,12.357,-1.543,prévue,raccordement nouveaux postes,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,34.8,0.0,6.58,1.0,False,2022-11-08 07:00:00,7,1,False,courte,9
